Published,Snippet,Lead Paragraph,Main Headline,Print Headline,Seo Headline
2019-01-21T21:54:41+0000,"Shao Chunyou rose from the assembly line to the boss’s office. Now the old recipes for success don’t work, and he must reinvent himself again.","Shao Chunyou rose from the assembly line to the boss’s office. Now the old recipes for success don’t work, and he must reinvent himself again.","China Transforms, and a Factory Owner Struggles to Follow","Struggle. Rise. Win. Now, Do It All Again.",
2019-02-23T11:00:04+0000,Heavy bedding is everywhere. Does it work?,Heavy bedding is everywhere. Does it work?,We Love to Be Smushed,We Sure Love to Be Smushed,
2019-03-12T17:12:48+0000,The actresses Felicity Huffman and Lori Loughlin and the fashion designer Mossimo Giannulli are among the 50 people charged in a bribery scheme to secure places for students in elite colleges.,The actresses Felicity Huffman and Lori Loughlin and the fashion designer Mossimo Giannulli are among the 50 people charged in a bribery scheme to secure places for students in elite colleges.,Who’s Been Charged in the College Admissions Cheating Scandal? Here’s the Full List,Who’s Been Charged in the College Admissions Cheating Scandal? Here’s the Full List,
2019-03-15T05:57:57+0000,"Congress has now voted for the first time to block a presidential emergency declaration, though not by enough to override President Trump’s promised veto.","Congress has now voted for the first time to block a presidential emergency declaration, though not by enough to override President Trump’s promised veto.",On Politics: Senate Rejects Trump’s National Emergency,Morning Edition,
2019-01-11T10:00:06+0000,"Frustrated with the perverse incentives of fast growth, founders are criticizing the investment model that built the tech industry as we know it.","Frustrated with the perverse incentives of fast growth, founders are criticizing the investment model that built the tech industry as we know it.",More Start-Ups Have an Unfamiliar Message for Venture Capitalists: Get Lost,More Start-Ups Are Telling Venture Capitalists to Get Lost,
2019-02-28T07:37:24+0000,A French store dropped a plan to sell a hijab designed for runners after becoming embroiled in the country's debate about what Muslim women wear.,A French store dropped a plan to sell a hijab designed for runners after becoming embroiled in the country's debate about what Muslim women wear.,"A Sports Hijab Has France Debating the Muslim Veil, Again",Debate Rages In France Over Hijabs For Runners,
2019-02-26T10:00:07+0000,I set out to understand how a group of real estate professionals allegedly used Airbnb to convert apartments into illegal hotel rooms.,I set out to understand how a group of real estate professionals allegedly used Airbnb to convert apartments into illegal hotel rooms.,"Unpacking an Illegal Airbnb Empire, One Fake Host at a Time",Unpacking an Illegal Airbnb Empire,
2019-01-06T21:19:31+0000,Some venture capitalists are rooting for a market dip to calm Silicon Valley’s overheated start-up scene.,Some venture capitalists are rooting for a market dip to calm Silicon Valley’s overheated start-up scene.,Who Wants a Market Downturn? These Investors Actually Do,Hoping To Outlast Bull Market For Start-Ups,
2019-03-31T23:00:01+0000,"Nixon’s solution for racial ghettos was tax breaks and incentives, not economic justice.","Nixon’s solution for racial ghettos was tax breaks and incentives, not economic justice.",The Real Roots of ‘Black Capitalism’,The Roots of ‘Black Capitalism’,
2019-04-04T15:26:32+0000,The high-profile partnership was announced on Thursday.,The high-profile partnership was announced on Thursday.,Beyoncé and Adidas Team Up to Make Shoes and Money,Beyoncé and Adidas Team Up to Make Shoes and Money,
2019-03-15T09:36:34+0000,"Accused of using its App Store to undercut competitors, Apple said Spotify was treated like all other developers that use the App Store.","Accused of using its App Store to undercut competitors, Apple said Spotify was treated like all other developers that use the App Store.",Apple Defends App Store Policies After Spotify’s Antitrust Complaint,Apple Defends App Store Policies After Spotify’s Complaint,
2019-03-31T19:12:31+0000,Tim Burton’s moody Disney remake sold $45 million in tickets in its first weekend. And Jordan Peele’s “Us” has crossed well over the $100 million mark.,Tim Burton’s moody Disney remake sold $45 million in tickets in its first weekend. And Jordan Peele’s “Us” has crossed well over the $100 million mark.,‘Dumbo’ Falls Short of Box-Office Expectations but Still Comes in First,  ‘Dumbo’  Didn’t Soar At Box Office,
2019-03-26T09:00:04+0000,The Stoics and friends continue to be the dominant thought leaders from Google to Apple — and a new entrepreneur lobbying firm has even named itself Cicero.,The Stoics and friends continue to be the dominant thought leaders from Google to Apple — and a new entrepreneur lobbying firm has even named itself Cicero.,Why Is Silicon Valley So Obsessed With the Virtue of Suffering?,Why Is Silicon Valley So Obsessed With the Virtue of Suffering?,
2019-01-18T21:31:59+0000,Families with great wealth or businesses are using their histories to help their heirs guide their enterprises — or at least appreciate how hard earlier generations worked to acquire their money.,Families with great wealth or businesses are using their histories to help their heirs guide their enterprises — or at least appreciate how hard earlier generations worked to acquire their money.,When Affluent Families Dig Up Their Past,When Affluent Families Dig Up Their Past,
2019-02-02T01:50:24+0000,The left’s war on centrism bodes ill for Democratic chances in 2020.,The left’s war on centrism bodes ill for Democratic chances in 2020.,Howard Schultz Derangement Syndrome,Schultz  Derangement  Syndrome,
2019-01-07T08:00:01+0000,"Annie Huntress Lamont, the wife of Ned Lamont, Connecticut’s incoming governor, has a business network that could help the state attract high-tech jobs.","Annie Huntress Lamont, the wife of Ned Lamont, Connecticut’s incoming governor, has a business network that could help the state attract high-tech jobs.",Connecticut Has Among the Lowest Growth in the Nation. Can Links to Silicon Valley Help?,"For New Governor, Wife’s Network Is Key to Connecticut Jobs Plan",
2019-03-24T09:00:11+0000,"As high-profile start-ups like Lyft, Pinterest and Uber prepare to go public, Silicon Valley venture capitalists are using the moment to shine the spotlight on themselves.","As high-profile start-ups like Lyft, Pinterest and Uber prepare to go public, Silicon Valley venture capitalists are using the moment to shine the spotlight on themselves.","Hey, Look at Me! I’m a Venture Capitalist","Hey, Look at Me! I’m a Venture Capitalist.",
2019-02-12T18:21:14+0000,The 2017 tax bill provides a 20 percent deduction for ‘qualified business income.’ But which small businesses are eligible?,The 2017 tax bill provides a 20 percent deduction for ‘qualified business income.’ But which small businesses are eligible?,"Small Businesses Have a New Tax Break, but There Are Many ‘Ifs’",Small Businesses Have a New Break,
2019-04-02T13:00:07+0000,"By inviting local businesses, the Market Line in Essex Crossing seeks to evoke the teeming environment of the Lower East Side in the 19th century.","By inviting local businesses, the Market Line in Essex Crossing seeks to evoke the teeming environment of the Lower East Side in the 19th century.",New York Marketplace Embraces Its Immigrant Past,Brand-New Melting Pot on the Lower East Side,
2019-03-04T18:23:28+0000,"From a whisky distiller to a fintech entrepreneur, meet four people who are taking old industries along entirely new paths.","From a whisky distiller to a fintech entrepreneur, meet four people who are taking old industries along entirely new paths.",How Scotland Is Innovating Its Traditions,,
2019-03-04T17:52:47+0000,"From a whisky distiller to a fintech entrepreneur, meet four people who are taking old industries along entirely new paths.","From a whisky distiller to a fintech entrepreneur, meet four people who are taking old industries along entirely new paths.",How Scotland Is Innovating Its Traditions,,
2019-04-05T01:45:40+0000,"His last day at the agency is Friday, then he will return part-time to the American Enterprise Institute where he will focus on drug prices.","His last day at the agency is Friday, then he will return part-time to the American Enterprise Institute where he will focus on drug prices.",Scott Gottlieb Says He Will Return to Conservative Think Tank After Leaving F.D.A.,,
2019-03-07T16:26:29+0000,"In this week’s Crossing the Border newsletter, an entrepreneur hopes to bring Americans and Mexicans together for good food, drinks and conversation.","In this week’s Crossing the Border newsletter, an entrepreneur hopes to bring Americans and Mexicans together for good food, drinks and conversation.",Building a Binational Border One Craft Cocktail at a Time,Building a Binational Border One Craft Cocktail at a Time,
2019-03-25T16:02:44+0000,Lawmakers were trying to legalize cannabis with a bill that sought to reckon with the racial inequities caused by the war on drugs.,Lawmakers were trying to legalize cannabis with a bill that sought to reckon with the racial inequities caused by the war on drugs.,Effort to Legalize Marijuana in New Jersey Collapses,Effort to Legalize Pot Collapses in New Jersey,
2019-03-10T01:35:47+0000,"Corrections appearing in print on Sunday, March 10, 2019.","Corrections appearing in print on Sunday, March 10, 2019.","Corrections: March 10, 2019",Corrections,
2019-02-14T06:00:04+0000,"Chadwick Boseman stars in a Thurgood Marshall biopic. And it’s Valentine’s Day, so why not see “Magic Mike,” on CMT.","Chadwick Boseman stars in a Thurgood Marshall biopic. And it’s Valentine’s Day, so why not see “Magic Mike,” on CMT.",What’s on TV Thursday: ‘Marshall’ and ‘Magic Mike’,What’s On Thursday,
2019-02-21T16:48:40+0000,"We asked students to tell us their stories. We heard about managing depression, anxiety and expectations.","We asked students to tell us their stories. We heard about managing depression, anxiety and expectations.",In Your Own Words: Mental Health on Campus,Mental Health On Campus,
2019-01-02T21:54:14+0000,More Chinese companies went public in the United States in 2018 than in any year since 2014.,More Chinese companies went public in the United States in 2018 than in any year since 2014.,Chinese Companies Flocked to U.S. Markets in 2018. The Trade War May Have Had a Role.,Chinese Companies Flocked to U.S. Markets in 2018,
2019-03-09T10:00:17+0000,"A group in San Jose, Calif., wants a worldwide competition to design a suitable landmark to celebrate the achievements of the tech companies.","A group in San Jose, Calif., wants a worldwide competition to design a suitable landmark to celebrate the achievements of the tech companies.","In Silicon Valley, Plans for a Monument to Silicon Valley",A Monumental Desire,
2019-03-01T17:22:35+0000,"At a pitch night in SoHo, female entrepreneurs pitch female venture capitalists.","At a pitch night in SoHo, female entrepreneurs pitch female venture capitalists.","When Women Control the Money, Female Founders Get Funded",When Women Control the Money,
2019-03-24T18:00:01+0000,Readers offer their ideas for improving recycling programs and reducing packaging and goods that end up in landfills.,Readers offer their ideas for improving recycling programs and reducing packaging and goods that end up in landfills.,What We Can Do to Reduce Waste,What We Can Do to Reduce Waste,
2019-03-17T19:22:36+0000,"Antitrust is the nuclear bomb of regulatory moves, but at a moment when nearly everything in America seems contentious, proposals to break up internet giants are gaining support.","Antitrust is the nuclear bomb of regulatory moves, but at a moment when nearly everything in America seems contentious, proposals to break up internet giants are gaining support.",Why a Big Tech Breakup Looks Better to Washington,Big Tech Is Growing. So Is Public Alarm.,
2019-04-04T20:25:17+0000,The Securities and Exchange Commission had asked the judge to hold Mr. Musk in contempt of court for a Twitter post about Tesla’s production goal for the year.,The Securities and Exchange Commission had asked the judge to hold Mr. Musk in contempt of court for a Twitter post about Tesla’s production goal for the year.,"Tesla’s Elon Musk and S.E.C. Have 2 Weeks to Resolve Dispute, Judge Says",,
2019-01-09T17:13:31+0000,The turret-shaped lounge sits atop the Williamsburg Hotel in Brooklyn. ,The turret-shaped lounge sits atop the Williamsburg Hotel in Brooklyn. ,"Yes, That Water Tower Is Actually a Bar",The Water Tower,
2019-04-03T09:00:04+0000,Trial and error leads to the perfect Filipino dessert.,Trial and error leads to the perfect Filipino dessert.,These Date-and-Walnut Bars Are Food for the Gods,Food for the Gods,
2019-04-02T04:50:17+0000,"Eric Holder, 29, was arrested in connection with the rapper’s killing. The shooting was not thought to be gang-related, the police said.","Eric Holder, 29, was arrested in connection with the rapper’s killing. The shooting was not thought to be gang-related, the police said.","Nipsey Hussle Shooting Was Rooted in Personal Dispute, Police Say",,
2019-02-24T22:36:23+0000,"Start-ups are offering health care services like doctors, prescription drugs and wellness programs as fast and easy as hailing an Uber driver.","Start-ups are offering health care services like doctors, prescription drugs and wellness programs as fast and easy as hailing an Uber driver.",When the Waiting Room Is Your Living Room,"A Doctor at Your Fingertips, and on Your Doorstep",
2019-02-21T17:32:19+0000,"In the 1950s, Dr. Orentreich took hair from the back of the head and planted it in the scalp, and lo, it grew. He also helped establish the Clinique skin-care line.","In the 1950s, Dr. Orentreich took hair from the back of the head and planted it in the scalp, and lo, it grew. He also helped establish the Clinique skin-care line.","Norman Orentreich, 96, Force Behind Hair Transplants, Dies","Norman Orentreich, 96, Restorer of Bald Scalps And Aging Skin, Is Dead",
2019-03-26T16:45:00+0000,A four-year restoration of Raphael’s cartoon for the “School of Athens” fresco at a Milan museum lets visitors explore the artist’s secrets.,A four-year restoration of Raphael’s cartoon for the “School of Athens” fresco at a Milan museum lets visitors explore the artist’s secrets.,"How Did Raphael Do It? To Find Out, Get Up Close","How Did Raphael Do It? To Find Out, Get Up Close",
2019-02-01T10:00:06+0000,Will Hunt travels from New York’s subways to Australian ochre mines to tell the subterranean story of what exists beneath us.,Will Hunt travels from New York’s subways to Australian ochre mines to tell the subterranean story of what exists beneath us.,A Deep Dive Into the ‘Underground’ World of Caves and Tunnels,Deep Dive,
2019-04-05T20:26:27+0000,Lena Waithe’s neighborhood drama on Showtime didn’t get the awards-season attention it deserved for Season 1. The window may have closed.,Lena Waithe’s neighborhood drama on Showtime didn’t get the awards-season attention it deserved for Season 1. The window may have closed.,Review: ‘The Chi’ Returns to the South Side of Chicago,A Return to the South Side of Chicago,
2019-02-14T15:25:15+0000,The Netherlands created the mascot as part of a set of business resources to avoid having “Brexit get in your way.”,The Netherlands created the mascot as part of a set of business resources to avoid having “Brexit get in your way.”,Beware the Brexit Monster: Dutch Businesses Get a Furry Blue Warning,Questions on Brexit? The Dutch Wondered About a Mascot,
2019-01-21T17:08:34+0000,"A whopping 17 people are running for New York City public advocate, with two debates scheduled ahead of the Feb. 26 special election.","A whopping 17 people are running for New York City public advocate, with two debates scheduled ahead of the Feb. 26 special election.",Who Are the Candidates for Public Advocate on Tuesday?,A Guide to the 23 People Running for New York City Public Advocate,
2019-03-27T19:40:02+0000,"In a for-men, by-men world, the little things still really do hurt women.","In a for-men, by-men world, the little things still really do hurt women.",What the Failed All-Female Spacewalk Tells Us About Office Temperature,The Legacies of a  Gender-Biased Era,
2019-02-24T19:29:28+0000,Robert Carsen’s exhilarating yet melancholic production of Verdi’s “Falstaff” shows how an updating can bring fresh resonances to a repertory work.,Robert Carsen’s exhilarating yet melancholic production of Verdi’s “Falstaff” shows how an updating can bring fresh resonances to a repertory work.,Review: Ambrogio Maestri Returns for Another Round as ‘Falstaff’,An Update Most Ecstatic,
2019-02-06T21:14:02+0000,"Inspired by a sordid, true story, this English-language movie tracks a group of Norwegian death-metal musicians whose lives go murderously wrong.","Inspired by a sordid, true story, this English-language movie tracks a group of Norwegian death-metal musicians whose lives go murderously wrong.",‘Lords of Chaos’ Review: Where Anomie and Speed Metal Meet Doom,Where Anomie and Speed Metal Meet Doom,
2019-01-18T06:00:03+0000,"Stream Netflix’s behind-the-scenes documentary on the unraveling of the Fyre Festival, and the Season 5 premiere of “Grace and Frankie.”","Stream Netflix’s behind-the-scenes documentary on the unraveling of the Fyre Festival, and the Season 5 premiere of “Grace and Frankie.”",What’s on TV Friday: ‘Fyre’ and ‘Grace and Frankie’,What’s On Friday,
2019-01-15T06:00:03+0000,Watch the new revival of “Roswell” on CW. Or catch the Season 2 premiere of “Corporate” on Comedy Central.,Watch the new revival of “Roswell” on CW. Or catch the Season 2 premiere of “Corporate” on Comedy Central.,"What’s on TV Tuesday: ‘Roswell, New Mexico’ and ‘Corporate’",What’s On Tuesday,
2019-01-12T14:44:42+0000,"The Chinese telecommunications giant said that the alleged actions of the employee, Wang Weijing, had nothing to do with the company.","The Chinese telecommunications giant said that the alleged actions of the employee, Wang Weijing, had nothing to do with the company.",Huawei Fires Employee Arrested in Poland on Spying Charges,Huawei Fires Employee Held on Spy Charge in Poland,
2019-02-24T19:02:41+0000,Let us help you start your day.,Let us help you start your day.,"Venezuela, North Korea, the Oscars: Your Monday Briefing","Venezuela, North Korea, the Oscars: Your Monday Briefing",
2019-03-15T18:44:14+0000,"Cesar Sayoc, a Trump supporter who prosecutors say mailed pipe bombs to prominent Democrats, has decided to enter a guilty plea, according to a court docket.","Cesar Sayoc, a Trump supporter who prosecutors say mailed pipe bombs to prominent Democrats, has decided to enter a guilty plea, according to a court docket.","Mail Bomb Suspect Accused of Targeting Clinton, Obama and Other Democrats to Plead Guilty",Man Accused of Mailing Pipe Bombs to Trump Critics Will Plead Guilty,
2019-01-03T11:00:04+0000,"New House members should study how their earlier counterparts saw their jobs and their relationship to constituents. For starters, keep it local. ","New House members should study how their earlier counterparts saw their jobs and their relationship to constituents. For starters, keep it local. ",The Watergate Class of ’74 Has Valuable Lessons for Freshman Democrats,Lessons for Freshman Democrats,
2019-02-05T21:09:24+0000,Regulatory and market pressures are creating a tough operating environment for many vendors. Oversaturation and changing culinary tastes are also concerns.,Regulatory and market pressures are creating a tough operating environment for many vendors. Oversaturation and changing culinary tastes are also concerns.,"Food Trucks ‘Are No Longer a Novelty,’ but They Are Adapting","Besieged, Mobile Food Vendors Circle Their Trucks",
2019-02-05T18:20:59+0000,New hires are part of a rebuilding effort at a newspaper that has experienced hard times.,New hires are part of a rebuilding effort at a newspaper that has experienced hard times.,Los Angeles Times Will Revive Its Separate Food Section,Good News in Los Angeles: A Revived Food Section,
2019-02-21T23:00:06+0000,"The privately built spacecraft will take a long trip to the moon, landing on its surface in April.","The privately built spacecraft will take a long trip to the moon, landing on its surface in April.","After SpaceX Launch, Israeli Spacecraft Begins Journey to the Moon","After SpaceX Launch, Israeli Spacecraft Begins Journey to the Moon",
2019-01-17T11:42:32+0000,"The founder of Vanguard, who died on Wednesday, changed how ordinary people invested. Here are some of his tips.","The founder of Vanguard, who died on Wednesday, changed how ordinary people invested. Here are some of his tips.",5 Pieces of Advice From John Bogle ,Jack’s 5 Rules  For Investing With Success,
2019-03-21T09:00:01+0000,"When your physical life ends, what do you hope people will say about you? What kind of impact do you want to have made on the world?","When your physical life ends, what do you hope people will say about you? What kind of impact do you want to have made on the world?",What Legacy Do You Want to Leave Behind?,What Legacy Do You Want to Leave Behind?,
2019-03-14T09:13:32+0000,"After President Trump said the late-night shows were trading in “one-sided hatred,” Kimmel pushed back.","After President Trump said the late-night shows were trading in “one-sided hatred,” Kimmel pushed back.",Jimmy Kimmel Fires Back After Trump Attacks Late-Night Shows,Jimmy Kimmel Fires Back After Trump Attacks Late-Night Shows,
2019-01-26T11:00:09+0000,"Rustic shelters called bothies. The laundry specialist to the stars. The $238 million penthouse. A raucous English family, and more.","Rustic shelters called bothies. The laundry specialist to the stars. The $238 million penthouse. A raucous English family, and more.",11 of Our Best Weekend Reads,11 of Our Best Weekend Reads,
2019-01-04T14:00:04+0000,"Technology publications are asking pointed questions about the online retail company. And Apple had rare, surprising bad news about sales.","Technology publications are asking pointed questions about the online retail company. And Apple had rare, surprising bad news about sales.",The Week in Tech: Amazon’s Burning Problems,A Look at a Retail Giant’s Blind Spots,
2019-01-18T10:00:07+0000,"A consumer technology innovation award was revoked from a company that makes a hands-free sex toy. The reason, some believe, is that the product is made for women.","A consumer technology innovation award was revoked from a company that makes a hands-free sex toy. The reason, some believe, is that the product is made for women.",What’s So ‘Indecent’ About Female Pleasure?,What’s So ‘Indecent’ About Female Pleasure?,
2019-01-30T19:45:44+0000,Let us help you start your day.,Let us help you start your day.,"Venezuela, Alibaba, Climate Change: Your Thursday Briefing","Venezuela, Alibaba, Climate Change: Your Thursday Briefing",
2019-01-31T20:38:27+0000,Prosecutors have charged Brazilian investors who backed what was once known as the Trump Hotel Rio de Janeiro with corruption and money laundering. The Trump Organization quit the project in 2016.,Prosecutors have charged Brazilian investors who backed what was once known as the Trump Hotel Rio de Janeiro with corruption and money laundering. The Trump Organization quit the project in 2016.,Investors in Former Trump-Branded Hotel in Brazil Charged With Corruption,Investors in Brazil Hotel Face Corruption Charges,
2019-02-12T10:00:11+0000,Big Freedia’s rap music is a part of the ether of modern New Orleans. So what better authentic travel guide to the city that so many tourists love to visit?,Big Freedia’s rap music is a part of the ether of modern New Orleans. So what better authentic travel guide to the city that so many tourists love to visit?,Five Places to Visit in New Orleans,The Bounce Queen’s Hometown Hangouts,
2019-03-12T23:26:02+0000,"Recruiting scandals typically focus on coaches and players, but in this latest one it was parents using sports to game the system.","Recruiting scandals typically focus on coaches and players, but in this latest one it was parents using sports to game the system.","For the Wealthy, Sports Opened a Back Door to Elite Colleges",The Wealthy Find a Way to Sneak Their Children Into College,
2019-03-11T20:04:11+0000,Obvious similarities exist between the Ethiopian Airlines and Lion Air crashes. But past aviation disasters offer an important lesson: Don’t jump to conclusions.,Obvious similarities exist between the Ethiopian Airlines and Lion Air crashes. But past aviation disasters offer an important lesson: Don’t jump to conclusions.,What We Know and Don’t Know About the Ethiopian Plane Crash,What We Know and Don’t Know About the Ethiopian Plane Crash,
2019-03-04T18:54:48+0000,"What happens when an apron entrepreneur, a filmmaker, a florist and a chef come together to talk about what makes their neighborhood special?","What happens when an apron entrepreneur, a filmmaker, a florist and a chef come together to talk about what makes their neighborhood special?",Exploring the Creative Edge of Downtown Los Angeles,,
2019-04-04T23:34:07+0000,The Canadians are doing it; we’re not.,The Canadians are doing it; we’re not.,Winning the War on Poverty,Winning  The War  On Poverty,
2019-01-22T21:21:35+0000,"With two documentaries bringing new attention to the 2017 music festival disaster, people raised more than $177,000 for a Bahamian restaurant owner who was exploited.","With two documentaries bringing new attention to the 2017 music festival disaster, people raised more than $177,000 for a Bahamian restaurant owner who was exploited.","Fyre Festival’s Organizers Didn’t Pay a Restaurant Owner, So GoFundMe Donors Stepped In",Restaurateur Recoups Fyre Festival Losses,
