Published On,Headline
" (CNN)February 6, 2019","Today's show describes some of the history and traditions associated with the U.S. president's State of the Union address and the opposing party's response. You'll hear from President Donald Trump, a Republican, and Stacey Abrams, a Democrat and former gubernatorial nominee. Afterward, we take a look at some of the traditions associated with a major holiday in China."
"February 5, 2019","Australia is the site of today's first report, as we bring you an explanation of why a dam was opened amid historic rains and how a city downstream was flooded. The deployment of 3,750 more U.S. troops to America's southern border makes headlines ahead of President Trump's upcoming State of the Union Address. And we consider what the televisions of the future will look like."
"February 4, 2019","Today's show begins by explaining what the INF Treaty is, why the U.S. and Russia decided to leave it, and how China might factor in.  An in-depth look at the U.S. government's jobs report follows. And whether you call it a whistle pig, a woodchuck, a marmot or a groundhog, it's making a widely watched prediction about the weather."
"February 1, 2019","As parts of Australia swelter under abnormally high temperatures, parts of the U.S. are thawing out from abnormally low ones. Following a report on that, we're explaining what the polar vortex is and how it affects weather. Pollution in Thailand, Super Bowl spending, and an elephant seal rescue are today's other topics."
"January 31, 2019","As freezing temperatures grip most of the U.S., CNN 10 provides an overview of the effects they're having and explains the difference between snow, sleet and freezing rain. Our second report focuses on a mission aimed at mining the moon. And with artificial intelligence making it easier to alter pictures and sound, we're examining how the U.S. government is working to prevent the spread of false information."
"January 30, 2019","This Wednesday, we're taking you to central Africa for an in-depth report that concerns child labor and the element of cobalt. You'll see how a CNN crew uncovered the employment of children in mining the metallic element, and you'll understand why it can be difficult to verify whether the cobalt we use has been mined without child labor."
"January 28, 2019","Welcome to a new week of news coverage on CNN 10. A broken dam at an iron mine has flooded a Brazilian city with mud. The U.S. government's partial shutdown has ended, but another could be on the horizon. And behind the wall of a French office building, a 17th Century masterpiece has been discovered."
"January 25, 2019",The U.S. president's annual State of the Union speech has been called off for now. Find out what led to its postponement -- and what the Constitution has to say about the address. Today's show also covers the world's largest annual human migration. And we look at an attempt to reduce plastic waste by reviving a milkman delivery model.
"January 24, 2019","Upheaval in Venezuela and shutdown-related votes in the U.S. Senate are our first two topics this Thursday. Afterward, we're taking you to a Grand Museum for a look at the painstaking process of restoring ancient artifacts. And some skaters take the risk of choosing thin ice for the music it produces."
"January 23, 2019","With plans moving forward for a second summit between the leaders of two rival nations, we're looking at the sticking points that have delayed progress on their prior agreement. With the Academy Awards ceremony about a month away, we're explaining why studios spend so much money to campaign for a win. And with the opportunity to capture ice at Niagara Falls, visitors share spectacular pictures."
"January 22, 2019","Democrats and Republicans dispute the value of a White House offer concerning immigration and the partial shutdown of the U.S. government. America remembers a civil rights icon on the holiday named after him. Oysters are recruited to shore up parts of New York City. And if you've ever wondered what a super blood wolf moon is (and who hasn't?), today's show has your explanation."
"January 18, 2019","Our last show of the week begins with a trip to Britain, where we're explaining how a leader is chosen and how its current prime minister narrowly won a vote of confidence. From there, we're visiting a U.S. factory that manufactures missiles, including those used in defense. Our last stop is in China, where a 3D printed bridge is now handling foot traffic."
"January 17, 2019","We begin today's show with a report on terrorist attacks in Syria and Kenya. Then, we're taking you to Europe, where preparations are being made for the 49th meeting of the World Economic Forum. We sample some plant-based alternatives to sushi and nutrition bars. And we explain the natural phenomenon of a giant spinning disk made of ice."
"January 16, 2019","Uncertainty in the United Kingdom is our first subject this Wednesday, following Parliament's rejection of a plan to separate from the European Union. On the 10th anniversary of a passenger plane's miraculous landing on a river, we're speaking to survivors about their experiences and wildlife experts about preventing bird strikes. And in the Music City, a coyote crashes a boat show."
"January 15, 2019",A milestone has been passed in the partial shutdown of the U.S. government. An internationally significant vote takes place in the British Parliament. Low tides in France reveal the remains of a World War I-era submarine. And a strike begins in America's second-largest school district.
"January 14, 2019","Questions arise about the influence of China and South Korea on a potential second summit between North Korea and the U.S. Scientists say they've detected repeating radio bursts from outer space, but their significance is debatable. And a company hopes to save businesses time by launching satellites from planes. It's all part of this Monday's edition of CNN 10!"
"January 11, 2019","A presidential visit to a U.S. border town, a look at a new type of technology being tested at U.S. airports, and a trek through the desert in Dubai are our main topics this Friday. We'll also test your knowledge of Greek mythology and the origin of the modern marathon."
"January 10, 2019","Today's show brings you highlights of a U.S. presidential address and opposing party's response, as debates heat up over border security and a partial government shutdown. On the heels of a North Korean leader's surprise trip to China, we're examining the relationship between the two countries. And smart technology is taking over parks in the United Arab Emirates."
"January 9, 2019","A strong discussion topic leads off today's show: We're reporting on a change in Florida law concerning the voting rights of people who've committed felonies. The debate over the potential impact of Amazon's ""HQ2"" follows. And after an update on the U.S. government shutdown, we're tuning into what future TVs could look like."
"January 8, 2019","What is meant by ""partial"" in the partial shutdown of the U.S. government? That's explained in our first story today, and it's followed by a look at how phenotyping is changing the field of criminal justice. A CNN Young Wonder and a vending machine that makes fresh bread round out today's coverage."
"January 7, 2019","An unexpected surge in hiring comes as a good sign for the U.S. economy, though experts expect stock market volatility to remain. An increase in the number of migrants arriving in the United Kingdom brings both challenges and debate. And an ice festival in northern China brings wonderment to those who brave the cold."
"January 4, 2019","A down-the-middle explanation of the ongoing U.S. government shutdown is our first topic this Friday, and it's followed by a report on the swearing in of the 116th U.S. Congress. A Chinese mission to the far side of the moon and a lesser-known resident of a famous British address complete our coverage."
"January 3, 2019","CNN 10 is kicking off a new season with today's show, and we're happy to have you watching! Our first story centers on a U.S. plan to withdraw its troops from Syria, and that's followed by a look back at a volatile year for the U.S. stock market. Photographing Joshua trees in California and a look at less-famous New Year's Eve traditions round out our program."
"December 14, 2018","Our last show of the 2018 fall season covers a ceasefire in Yemen, the CNN Hero of the Year, and a likely record set by a 102-year-old great-grandmother who takes to the sky."
"December 13, 2018","Michael Cohen, a former lawyer for the U.S. president, is sentenced to three years in federal prison; today's show explains why. We're also reporting on a confidence vote concerning Britain's prime minister, and we're telling you what drug is now considered to be the most deadly in America."
"December 12, 2018","Today, CNN 10 is taking you from Capitol Hill to the nation of Hungary. You'll hear how a Google executive responds to accusations of bias in his company, and you'll meet a CNN Young Wonder who's helping the less fortunate celebrate birthdays in a big way. And you'll get a sense of why a distinctive, 6-layer cake draws thousands to a historic cafe."
"December 11, 2018","Our first two topics this Tuesday: A vote concerning the Brexit is delayed in Britain's Parliament, and parts of the U.S. Southeast are bombarded by snow. Those stories are followed by a trip to the Middle East, where an international effort to clear landmines makes Christian holy sites accessible again."
"December 10, 2018","Our last week on air this season begins with a report on continued unrest in France, as the nation's president prepares to address his country. Explanations of a SpaceX success and a SpaceX failure follow. And we're spotlighting a Young Wonder who's helping kids on another continent get what they need to play ball."
"December 7, 2018","On this Friday, December 7 -- National Pearl Harbor Remembrance Day -- CNN 10 recalls the attack that led to the U.S. entry into World War II. Also covered are some recent events in and around the Black Sea. And in a kitchen where everything is connected, will the food actually be as good?"
"December 6, 2018","Ebola is spreading in the Democratic Republic of Congo, though medical teams have made some progress in fighting the disease. We cover the state funeral of U.S. President George H.W. Bush. And a city in Texas is working toward treating wastewater so thoroughly that it can be reused as drinking water."
"December 5, 2018","Our first two subjects today include protests in France and what it means to lie in state at the U.S. Capitol. Afterward, we look at the possible role of blockchain technology in how people get electricity. And we show you how 26 monkeys previously used for research will now spend retirement at a sanctuary in Florida."
"December 4, 2018","Today's show explains what OPEC is and why it's significant that Qatar has decided to leave the 15-member cooperative. That's followed by a report on a ""trade truce"" between the U.S. and China. And we're featuring a CNN Hero who's helping people from other countries assimilate to life in America."
"December 3, 2018","Our week begins with an in-depth look at the life and legacy of former U.S. President George H.W. Bush, who passed away on Friday at age 94. That's followed by coverage of a major earthquake that shook the state of Alaska last week. And basketball teams that visit Texas' Splendora High School could think they're seeing double (and they'd be right)."
"November 30, 2018","The stage is set for meetings and drama at this year's Group of 20 (G20) summit in Argentina. After a report on that, we're taking you flying for a look at how scientists try to increase precipitation through cloud seeding. And we show you how a dog had its day as a paleontologist."
"November 29, 2018",Our first story this Thursday centers on genetic editing and the debate surrounding a scientist's claim to have genetically altered twin babies in China. That report is followed by a detailed look at how some residents in U.S. rural communities are impacted by unsafe drinking water. And we show you a table tennis shot heard round the world.
"November 28, 2018","Get your passport ready for a trip to Europe, southern Asia, and Mars! We're explaining some of the latest news concerning the Brexit, the issue of Facebook security, the desire of technology companies to harness users in India, and the landing of NASA's latest mission to the red planet."
"November 27, 2018","Today's show takes you from a tense border crossing between Mexico and the U.S. to a tense strait between the Black Sea and the Sea of Azov. We're updating you on the fight against California's most destructive wildfire, and we're showing you how job seekers can make their resumes stand out in all the right ways."
"November 26, 2018","Welcome back to CNN 10! Today's down-the-middle coverage examines a new climate change report by the U.S. government, and that's followed by information about the history of Black Friday and its sales in the present. Widespread protests in France and a look at whether Google is a monopoly round out our coverage."
"November 20, 2018","On our last show before the Thanksgiving break, we're giving you an updated look of the balance of power in the U.S. Senate and House of Representatives, as Midterm Election results continue to come in. An impact crater in beneath Greenland's ice, an effort to use biomass pellets to power homes, and a rarely seen jellyfish are our other stories this Tuesday."
"November 19, 2018","As firefighters make gains in containing California's deadly wildfires, U.S. President Donald Trump joins two California governors in surveying the damage. As alcohol-related deaths spike in the U.S., researchers discuss possible reasons why. And as Amazon prepares to set up new bases in two U.S. cities, we look at the potential impacts they'll face."
"November 16, 2018","U.S. President Donald Trump voices his support for a prison reform bill, South Korean students get to work on a high-stakes exam, and the U.S. Food and Drug Administration proposes new rules concerning certain e-cigarette products. We're also showing you how an Austrian snowboarder just made history in the air."
"November 15, 2018","Elections in Congress start off our coverage today, as we give you an overview of who's in the running for leadership of the U.S. Senate and House of Representatives. That's followed by an explanation of how changes in oil prices have various ripple effects around the world. And we're taking you to the front lines of the firefights in Southern California's hills."
"November 14, 2018",A firsthand look at how the wind is worsening California's historic wildfires is our first report this Wednesday. It's followed by an analysis of newly released pictures of North Korean missile bases. And an American journalist reflects on the challenges she faced while working in North Korea.
"November 13, 2018","A rule change involving asylum and certain migrants to the U.S. is the first story we're explaining today. It's followed by an examination of a major vote recount in a state that's had one before. The top 10 CNN Heroes of 2018, a technology show in the Middle East, and a robotic anchor are our other topics this Tuesday."
"November 12, 2018","Today's show takes you to California, where wildfires are raging across the state. We're visiting France, where a massive ceremony took place Sunday to honor the troops who fought in World War I and the Armistice that ended it. And we're traveling to South Korea for an explanation of why its capital has been described as the ""bandwidth capital of the world."""
"November 9, 2018","Our first story this Friday gives an overview of a shooting that took place earlier this week in California. An illuminating view of Diwali, a view of World War I footage that hasn't been seen before, and an incredibly high-resolution view from the International Space Station round out our coverage."
"November 8, 2018","Our first story today updates you on the makeup of the 116th U.S. Congress, following Tuesday's Midterm Elections. The sudden resignation of the U.S. attorney general is explained, followed by a report on a polio-like illness that's been detected in 25 states. Then, we're taking you to the United Arab Emirates for a look at how drone technology could change the skyline."
"November 7, 2018","The U.S. Midterm Elections are front and center on CNN 10 today. We're covering what analysts were watching for on Election Day, what some lawmakers said their priorities were going into the vote, and what the big picture looked like after the election for the House of Representatives and the Senate. The rise, fall, and rise again of the Segway is also featured, as well as an explanation of why the fish crossed the road in Washington state."
"November 6, 2018","It is the first Tuesday after the first Monday in November; that means it's Election Day in America. And we start off the show by explaining how that was determined back in the 1800s. New U.S. sanctions on Iran, some of the impacts of smartphones, and a hotel that's truly a dive are our other topics."
"November 5, 2018","Today's show leads off with economic news, from the U.S. Labor Department's newest jobs report to a look at the challenges of seasonal hiring in a strong economy. Afterward, we're showing you how a Peruvian doctor became a CNN Hero for his efforts to help cover the living expenses of sick children. "
"November 2, 2018","A look at the upcoming U.S. Midterm Elections leads off our show this Friday, followed by a report on a time change observed in many parts of the world. We're featuring a Positive Athlete who's also a scholar, and we're giving you a bird's-eye view of a record set by ""dancing"" SUVs."
"November 11, 2018","Today's special edition of CNN 10 focuses on Amazon, the $1 trillion U.S. company that has changed the retail landscape. We'll explore some of the technology it uses, the challenges it has faced and created, the concerns about whether it's a monopoly, and the profits it has generated."
"October 31, 2018","This Wednesday, CNN 10 is explaining how the U.S. government is addressing a caravan of migrants heading through Mexico, how critics are responding, and how long the U.S. military's mission is expected to last. An update on NASA's sun probe, a report on flooding in Italy, a Great Big Story, and a Halloween forecast round out today's show."
"October 30, 2018","Today, we're visiting Germany, where the chancellor's announcement could signal a significant change for Europe in the years ahead. We're visiting Brazil, where a congressman has been elected to the presidency after a polarizing campaign season. The United Kingdom is also a stop, as we explain how smart glasses could bring a new dimension of entertainment to people with hearing loss. And we're explaining a volatile month for the U.S. stock market."
"October 29, 2018","An apparent hate crime shocks a community in Pennsylvania, and a suspect is arrested in connection with a series of suspicious packages mailed to U.S. public figures. South Koreans report mixed results from a government effort to limit the hours they work. Researchers say they've found the oldest intact shipwreck ever discovered. And a CNN Hero extends ""adventure-based healing"" to people with multiple sclerosis."
"October 26, 2018","This Friday, we're updating you on the investigation into a series of suspected packages sent to prominent U.S. politicians and other public figures. Afterward, we're taking you to the Korean Demilitarized Zone for a look at how part of it is actually demilitarizing. And after a report on the discovery of ancient artifacts in Peru, we're introducing a Positive Athlete who's making sure that the kids in her community get healthy food to eat."
"October 25, 2018",The U.S. government launches an investigation into a series of suspicious packages addressed to current and former politicians. A U.S. naval commander discusses concerns about Russia's submarine capabilities. And a linguistic luminary talks about how he developed his expertise in pronunciations.
"October 24, 2018","A major hurricane in Mexico, the longest oversea bridge on Earth, and a rocket-scale type of water fountain are three of our subjects this Wednesday. We're looking at how hands-only CPR could help someone live to 100, and we're explaining how a 5-month-old girl could be the youngest person ever to visit all 50 states."
"October 23, 2018","Two weeks away from the U.S. Midterm Elections, CNN 10 is recapping the seats and the issues that voters will be deciding on in November. With the U.S. government threatening to pull out of a treaty with Russia, we're explaining the history and controversies associated with the INF. And we're showing you how a young man with a rare neurological condition is teaching his community how to make the most of life."
"October 22, 2018","A group of thousands has been moving across Central America, and we're explaining how this is creating debate in Mexico and the U.S. over how to address the issue. Afterward, we're reporting on a CNN Hero who's giving homes and hope to veterans, and we're looking at Halloween in terms of what Americans plan to spend."
"October 19, 2018","As satellite photos indicate that Russia may be bolstering its military installations in Kaliningrad, we're explaining why NATO allies are concerned and how some of them are conducting military exercises of their own. Also featured today: a look at how autonomous vehicle technology is getting better, though concerns about potential hacking persist."
"October 18, 2018","Medical officials who are fighting the Ebola virus are experiencing setbacks because of armed conflict in Central Africa. A report on job openings in the U.S. comes as great news to the economy, but will wages keep pace? And 22 out of 25 U.S. burger chains get an F on a new report card concerning antibiotics and the food supply."
"October 17, 2018","An explanation of a trial that involves race and college admissions is our first topic today. It's followed by a new effort to clean up the world's oceans. As part of our ""Living to 100"" series, we're taking a look at the Japanese term ikigai. And we're exploring a Viking burial ground that's believed to harbor a longship."
"October 16, 2018","As the president and the governor tour the hardest-hit parts of Florida, we're bringing you good news and bad news from the hurricane-ravaged Panhandle. As an iconic U.S. retailer declares bankruptcy, we're taking a look back at the company's historic influence on America. We also feature a story about a CNN Hero who's helping veteran military translators find a new home in the U.S."
"October 15, 2018","The first story we're explaining this week involves the disappearance of a Saudi journalist and how it's having ripple effects around the world. A look at the devastation from Hurricane Michael underscores why some say it will take years for some areas to recover. And after a bit of aviation history, we're taking a seat aboard the longest passenger flight in existence."
"October 12, 2018","Our coverage this Friday begins with an explanation of why the U.S. stock market has seen two dramatic drops in two days. That's followed by a look at some of the devastation left behind by Hurricane Michael. And after a report about an emergency landing for an astronaut and a cosmonaut, we're covering a pair of Positive Athletes who are learning from each other on the field."
"October 11, 2018","The landfall of Hurricane Michael is our first story today on CNN 10. We're bringing you reports from the scene and the studio to explain the effects of the storm and what's meant by the term ""rapid intensification."" Afterward, we're looking at how social media platforms like Instagram are impacting the restaurant business."
"October 10, 2018","In today's show, you'll learn about a U.S. ambassador's resignation, and you'll get a sense of why storm warnings are covering the U.S. Southeast. We explain some governmental exercise guidelines and the purported benefits of HIIT training. And our Great Big Story rides the rails to track down a model community."
"October 9, 2018","With a hurricane churning in the Gulf of Mexico, CNN 10 is explaining where it could go and why it's likely to strengthen before making landfall. We also feature financial news today, exploring the ongoing bull market and looking at elements that could potentially threaten it. And we introduce you to a CNN Hero who's helping homeless people in Northern California avoid the hunger she faced in China."
"October 8, 2018","A new U.S. Supreme Court justice is sworn in, two astronauts and a cosmonaut return to Earth, and we examine the facts behind what's become known as the ""retail apocalypse."" Also featured: a Great Big Story about how service monkeys are helping people with mobility impairments."
"October 5, 2018","While some Indonesians struggle to recover from a series of natural disasters, others line up at airports and seaports to leave. While Facebook works to tighten its security, experts question what consequences will result from a recent hack. And while mixed reality may be years away from being actual reality, we explore some of its widespread possibilities."
"October 4, 2018","Following a confrontation between U.S. and Chinese warships in the South China Sea, we're explaining how disputed territory factors into international tensions in the region. We explore the potential health risks of deep space travel and the benefits of practicing basic safety here on Earth. And if you're into shoes, you won't want to walk away from today's 10 out of 10 segment."
"October 3, 2018","From the struggles following a natural disaster in Indonesia to a significant vote in Macedonia, today's show is explaining events from around the world. We examine how bacteria are being studied as a way to color fabrics, and we report on a Positive Athlete who's using the links as a link to helping others."
"October 2, 2018","An international trade agreement between the U.S., Mexico and Canada has been reached, but it has some hurdles to clear before it's finalized. The previous U.S. flu season was the worst in decades, but there's a hopeful sign for the one coming up. And the advent of ""digital people"" could save real humans time in the years to come, but it could also cost them jobs."
